index,generated_at,branch,commit,dirty_worktree,score,raw_score,caps,finding_count,hard_findings,soft_findings,decision,minimum_score,scope,report_fingerprint
1,1777884370,main,120808b,true,93,93,0,5,5,0,fail,85,full,sha256:85f3988228a7f8abc0b250cc3c8a58316acaba71bb2999df783e17c92ef0d4f0
2,1777884434,main,120808b,true,93,93,0,5,5,0,fail,85,full,sha256:64a862a30d4d78a088a1af9a74f2c208cf5628ff2c9b8cb42100e6b60801fe4e
3,1777885615,main,d491e36,true,93,93,0,5,5,0,fail,85,full,sha256:dadd3f455c78a4e15509cfa48c4650df7830bc9f75fa5d173135a886969e66b7
4,1777886688,main,227591a,true,93,93,0,5,5,0,fail,85,full,sha256:c2f60af5430759820ffa15b7e4970d6563ef780c1d512d587bbf83a5de663c9a
5,1777886825,main,227591a,true,93,93,0,5,5,0,fail,85,full,sha256:4f53822b29f29207f3dd261134688f3fcb242a9bd78037c223876135edc1c29e
6,1777888248,main,cda689c,true,93,93,0,5,5,0,fail,85,full,sha256:de4a7bac18595061c241fe1d421fe8c1ed0e6810c724e93713c6278fd77ad349
7,1777894629,main,385bf13,true,93,93,0,5,5,0,fail,85,full,sha256:9d14cd8db63898b191d618e76cfa6bb40599bc59c53daf997906f7ab5b93a54f
8,1777894712,main,385bf13,true,93,93,0,5,5,0,fail,85,full,sha256:38744712079c15e7bd879d92fb4e75616d677b0cab80a115a1315cfefd7e5def
9,1777896149,main,a378bc7,true,93,93,0,5,5,0,fail,85,full,sha256:9fe3287185509e0d922a6835d6e791327d6ec402937f2829a71396720290e951
10,1777897178,main,a378bc7,true,93,93,0,0,0,0,pass,85,full,sha256:23cfb54dc3d97835e31d6da389f28cd014a86590fee100d6d47a6d1bf8e3df75
11,1777897188,main,a378bc7,true,93,93,0,0,0,0,pass,85,full,sha256:56f4e3ff44ca6e3728d1ed62f82e648a4f5ce95edd6958393d4006fa4f742658
12,1777900249,main,a378bc7,true,90,90,0,1,0,1,pass,85,full,sha256:9c539c38ffa21eee3457c4ac99e6a23173c6d38baa32891264966524c72980d7
13,1777900348,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:5c5068f62c2fe07852f5b4c5cd35ad5277659e24dc9e829224e25224f751ef5f
14,1777900358,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:e64fdc10c528f0b87d11b28a5cabc63dcaaa83bf474b9efe445db1ec293c0718
15,1777902377,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:bfedfc47404e53e18fd6f9f5c7a1e23610e7f0303dc3704a0af8d1d6519d49c4
16,1777902416,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:97e649befe8e1320c940890aaded4b64e81d4e363d43ced4c64f524291cf9901
17,1777902456,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:28fa2a7c7286a4070fe4565dd069b8700591a7f63b82c447f6cbbcdeea200bf2
18,1777902477,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:4b6cef4a3fb4f0a2543915215a997d209a9d68d9915f6309d88bd8c4d330c368
19,1777905383,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:09d0cbe3817870a481f79656e64f07c39f5ee46ac640a27a58a8b00a6fd1d2bf
20,1777905387,main,a378bc7,true,90,90,0,0,0,0,pass,85,full,sha256:ca18813ea39024c3d5dcf8b8f7073e554e610aa093588a1216c3d7665bdc92e3
21,1777908465,main,af4cfca,true,91,91,0,2,1,1,fail,85,full,sha256:5df6da51e6038a27618cf8f3b6b4d0e58ccf348f01f016a2401979fd595e63e6
22,1777908484,main,af4cfca,true,91,91,0,2,1,1,fail,85,full,sha256:499fe774d7cef568533a6328e61bb2bc391559fad2a33002d5d21e07b56f08c0
23,1777910116,main,16246c4,true,91,91,0,2,1,1,fail,85,full,sha256:20fd69e47cae4d35a3b35bd44136f045d7d0babe6327bd527131699936a3e49f
24,1777910155,main,16246c4,true,91,91,0,1,0,1,pass,85,full,sha256:85e622fa296eb3282ae3af2c7a5b35fe54455f67463a06f34010c355998dd5be
25,1777910192,main,16246c4,true,91,91,0,1,0,1,pass,85,full,sha256:96c2d57f7454e95576914f89918e515c6cfa3ca3cdbc7f7c4320aed23abc5b55
26,1777910212,main,16246c4,true,91,91,0,0,0,0,pass,85,full,sha256:df1cd6a9c741b1ab6162483a38ab94ff02105951505b0a1ea0de4aeef5d8b8eb
27,1777910321,main,16246c4,true,91,91,0,0,0,0,pass,85,full,sha256:71ec28c8b9f9e9e29d5a841c40673a1b2b155bc017f52d64a77b7453075e73d0
28,1777910348,main,16246c4,true,91,91,0,0,0,0,pass,85,full,sha256:4e03d65dfff4eca13f9c3ac16b67404577c1f06068fb92a7cf0b61341ae3cd82
29,1777911851,main,3276f80,true,91,91,0,0,0,0,pass,85,full,sha256:53555e982d0068cf1317a943026d7bf38dbffa84f5045fef537181f9ee6c96c3
30,1777911866,main,3276f80,true,91,91,0,0,0,0,pass,85,full,sha256:bde3b386b002a28d8cd706534aef8c3fd309a7961357528a3bdf55437a3dccbf
31,1777928966,main,0b8fd25,true,91,91,0,0,0,0,pass,85,full,sha256:195c61a1f1ec44e9aeb564eda4d943d414ad886de6b6590368208af09fc250f0
32,1777932053,main,0b8fd25,true,91,91,0,0,0,0,pass,85,full,sha256:7c641a269abbd41639d27ab5581f2e0dea6d4be757409cf98cf627b7aa2cbc71
33,1777932211,main,0b8fd25,true,91,91,0,0,0,0,pass,85,full,sha256:d6d15388a09fd62f9fb1387795dd389c674a322a94d0f9bfcaa61d5192102bbe
34,1777938995,main,0b8fd25,true,91,91,0,0,0,0,pass,85,full,sha256:4201f4b4bee38ef8e29f47ae4a8c5facbd8ae0c4a688f49b7fdb2ada76666709
35,1777943762,main,0545661,true,91,91,0,1,0,1,pass,85,full,sha256:cbba5b048ae057e0f13acd9fbbff5c7af0f80f9d0b8d6de3eb5eb43c60adccbb
36,1777943807,main,0545661,true,91,91,0,1,0,1,pass,85,full,sha256:bc12c548df4ae8baba54997c3de8c63b38ae5eb089ee0f85c157cb63403cb8f3
37,1777943845,main,0545661,true,91,91,0,1,0,1,pass,85,full,sha256:fdb3b1985f2162612fd44513fc6c7984c624e788966345cfc3310cc474023def
38,1777999546,main,426c983,true,91,91,0,1,0,1,pass,85,full,sha256:e7306b1b4a37dda4eb14c6c560d0449c65db9cfd4c1121598545d945f98ad1ee
39,1777999569,main,426c983,true,91,91,0,1,0,1,pass,85,full,sha256:3f6f401831f0de2ca7c8ce61b3e018719b75e7d467388e984aa1b9e99a901210
40,1777999776,main,426c983,true,91,91,0,1,0,1,pass,85,full,sha256:8f379a8b4879c282e6b676c760d31d8a44673083bcb48677127c2b953ab766ce
41,1778012082,main,eefce5e,true,88,88,0,1,0,1,pass,85,full,sha256:e8faf3e0b7115c51ccdaad4a1a8434fff8639014db3a23298983e58d54155d4f
42,1778012146,main,eefce5e,true,88,88,0,1,0,1,pass,85,full,sha256:43ad8046bc6ba4e5226733e679cf84f5a9fb1c9768dff6bc389eaf2f3a2f63cc
43,1778012155,main,eefce5e,true,88,88,0,1,0,1,pass,85,full,sha256:e055626fc82464e8ef2e27cfe6fa9dc61e11155b2ce8a74d32c6d5ee99330ab5
44,1778012205,main,eefce5e,true,88,88,0,1,0,1,pass,85,full,sha256:680c76544ed252f2c9ba7f951c086ec57c8789549b3cfe6d6c66774570e45a7c
